,City,Country,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind Speed (MPH),Date
1,Queenstown,NZ,-45.03,168.66,47.99,100,92,1.79,1545358232
3,Troitskoye,RU,52.98,84.68,-8.04,64,56,11.3,1545358380
4,Eaglesfield,GB,54.64,-3.4,45.65,93,92,7.49,1545358380
5,Avarua,CK,-21.21,-159.78,84.2,74,75,6.93,1545354000
6,Bekwai,GH,6.46,-1.58,69.1,94,12,2.57,1545358381
7,Tuatapere,NZ,-46.13,167.69,53.75,100,88,7.27,1545358381
8,Mataura,NZ,-46.19,168.86,56.32,78,92,9.24,1545358382
9,Ushuaia,AR,-54.81,-68.31,50,61,40,6.93,1545357600
12,Puerto Ayora,EC,-0.74,-90.35,75.35,100,24,8.01,1545358382
13,Padang,ID,-0.92,100.36,77,83,20,3.36,1545354000
14,Port Hedland,AU,-20.31,118.58,95,34,8,9.17,1545355800
16,New Norfolk,AU,-42.78,147.06,60.8,63,75,17.22,1545355800
17,Oranjestad,AW,12.52,-70.03,80.6,83,20,20.8,1545354000
19,Vaini,IN,15.34,74.49,60.8,87,40,3.8,1545354000
20,Kampot,KH,10.62,104.18,81.46,88,20,4.21,1545355800
22,Zeya,RU,53.74,127.27,-16.45,68,64,3.2,1545358385
23,Punta Arenas,CL,-53.16,-70.91,50,66,0,16.11,1545357600
24,Busselton,AU,-33.64,115.35,76.84,71,0,11.59,1545358385
25,Kapaa,US,22.08,-159.32,75.51,64,75,16.11,1545357360
26,Hamilton,BM,32.3,-64.78,66.2,63,75,11.41,1545353700
28,Irbit,RU,57.67,63.06,-4.26,67,32,8.72,1545358386
29,Caravelas,BR,-17.73,-39.27,79.85,100,0,19.42,1545358252
30,Butaritari,KI,3.07,172.79,82.1,100,48,8.84,1545358253
31,Magomeni,TZ,-6.8,39.25,79.52,88,20,4.7,1545354000
32,Yerbogachen,RU,61.28,108.01,-13.98,21,20,9.84,1545358387
33,Port Blair,IN,11.67,92.75,82.51,100,0,6.49,1545358387
35,Tuktoyaktuk,CA,69.44,-133.03,-13.01,75,5,4.7,1545355500
36,Bethel,US,60.79,-161.76,-14.05,81,1,10.29,1545357360
37,Kodiak,US,39.95,-94.76,34.79,77,1,8.05,1545357300
38,Atuona,PF,-9.8,-139.03,81.07,100,76,14.83,1545358388
39,Chumikan,RU,54.72,135.31,8.62,65,0,11.52,1545358389
